"시군구명","어린이집코드","어린이집명","어린이집유형","운영현황","우편번호","상세주소","전화번호","팩스번호","홈페이지주소","보육실수","보육실 면적","놀이터수","CCTV총설치수","보육교직원수","정원","현원","시설 위도(좌표값)","시설 경도(좌표값)","통학차량운영여부","인가일자","휴지시작일자","휴지종료일자","폐지일자","데이터기준일자","제공서비스","반수-만0세","반수-만1세","반수-만2세","반수-만3세","반수-만4세","반수-만5세","반수-영아혼합(만0~2세)","반수-유아혼합(만3~5세)","반수-특수장애","반수-총계","아동수-만0세","아동수-만1세","아동수-만2세","아동수-만3세","아동수-만4세","아동수-만5세","아동수-영아혼합(만0~2세)","아동수-유아혼합(만3~5세)","아동수-특수장애","아동수-총계","근속년수-1년미만","근속년수-1년이상~2년미만","근속년수-2년이상~4년미만","근속년수-4년이상~6년미만","근속년수-6년이상","교직원현황-원장","교직원현황-보육교사","교직원현황-특수교사","교직원현황-치료교사","교직원현황-영양사","교직원현황-간호사","교직원현황-간호조무사","교직원현황-조리원","교직원현황-사무직원","교직원현황-총계","데이터수집일"
"구로구","11530000635","참누리어린이집","국공립","정상","08274","서울특별시 구로구 경인로 302 관리동 (개봉동개봉역센트레빌레우스 임대아파트)","02-2612-2021","02-2612-2022","","7","259","2","19","19","94","83","37.566470","126.977963","미운영","2020-07-22","","","","2021-11-17","일반","5","3","4","2","0","0","0","1","0","15","15","15","14","27","0","0","0","12","0","83","1","0","0","0","0","1","16","0","0","0","0","0","1","0","19","2021-11-17 22:03:55.0"
"구로구","11530000634","날아라어린이집","국공립","정상","08362","서울특별시 구로구 부광로 96-16","02-2066-7114","02-2066-7115","https://iseoul.seoul.go.kr/portal/mainCall.do","5","118","1","10","11","30","30","37.475735191171125","126.81571230878866","미운영","2020-06-01","","","","2021-11-17","야간연장","4","2","1","1","0","0","1","0","0","9","9","9","7","0","0","0","5","0","0","30","0","0","0","0","0","1","9","0","0","0","0","0","1","0","11","2021-11-17 22:03:54.0"
"구로구","11530000633","엔젤어린이집","국공립","정상","08371","서울특별시 구로구 디지털로31길 90 108동 103호","02-838-6157","","","3","86","2","5","8","20","20","37.566470","126.977963","미운영","2020-04-01","","","","2021-11-17","일반","2","2","1","0","0","0","0","0","0","5","6","7","7","0","0","0","0","0","0","20","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000632","새빛어린이집","국공립","정상","08362","서울특별시 구로구 연동로 233","02-2688-3688","02-2689-3688","","4","141","1","15","12","44","39","37.480522856569365","126.82079390945905","미운영","2020-01-31","","","","2021-11-17","일반","2","2","2","1","0","0","0","0","0","7","6","10","14","9","0","0","0","0","0","39","0","0","0","0","0","1","9","0","0","0","0","0","1","0","12","2021-11-17 22:03:55.0"
"구로구","11530000631","항동하랑어린이집","국공립","정상","08368","서울특별시 구로구 항동로 42","02-2612-0081","02-2612-0087","","4","285","3","9","11","69","69","37.47820771030077","126.82560717140872","미운영","2020-01-22","","","","2021-11-17","야간연장","0","0","2","1","1","1","0","0","0","5","0","0","14","15","20","20","0","0","0","69","0","0","0","0","0","1","8","0","0","0","0","0","1","0","11","2021-11-17 22:03:55.0"
"구로구","11530000627","햇살어린이집","국공립","정상","08219","서울특별시 구로구 경인로47다길 34-7 우성꿈동산 아파트 우성상가(고척동)","02-2611-7618","02-6737-7618","","6","400","1","16","16","94","88","37.50344356243832","126.86599681274583","미운영","2019-08-01","","","","2021-11-17","장애아통합야간연장","0","2","4","1","0","1","0","1","1","10","0","9","23","14","0","20","0","19","3","88","0","0","0","0","0","1","13","0","0","0","0","0","2","0","16","2021-11-17 22:03:55.0"
"구로구","11530000629","늘사랑어린이집","국공립","정상","08206","서울특별시 구로구 구로중앙로40길 24","02-3667-1235","","","5","250","1","15","11","50","50","37.506710798042974","126.87737162711771","미운영","2019-07-26","","","","2021-11-17","장애아통합","1","2","2","1","0","0","0","1","0","7","3","5","13","10","0","0","0","19","0","50","0","0","0","0","0","1","8","0","0","0","0","0","1","0","11","2021-11-17 22:03:54.0"
"구로구","11530000628","꽃망울어린이집","국공립","정상","08368","서울특별시 구로구 항동로 72 관리동(항동 하버라인 4단지)","02-2618-1007","02-2618-1008","","7","261","3","10","18","55","53","37.48108090833357","126.82644562479552","미운영","2019-07-25","","","","2021-11-17","야간연장","4","3","3","1","0","0","0","1","0","12","12","15","19","0","0","0","0","7","0","53","1","0","0","0","0","1","15","0","0","0","0","0","1","0","18","2021-11-17 22:03:54.0"
"구로구","11530000630","자연숲어린이집","국공립","정상","08362","서울특별시 구로구 연동로 234 관리동(항동 하버라인 2단지)","02-2688-2611","","","5","269","2","9","14","77","77","37.482223478892244","126.82226531586894","미운영","2019-07-25","","","","2021-11-17","장애아통합","0","2","2","1","1","1","0","0","0","7","0","10","14","15","18","20","0","0","0","77","0","0","0","0","0","1","11","0","0","0","0","0","1","0","14","2021-11-17 22:03:55.0"
"구로구","11530000626","예크어린이집","국공립","정상","08330","서울특별시 구로구 개봉로20길 158 현대홈타운 2단지아파트 관리동 1층","070-4200-0713","","","4","112","1","4","9","26","26","37.566470","126.977963","미운영","2019-06-01","","","","2021-11-17","일반","1","2","2","0","0","0","1","0","0","6","3","10","13","0","0","0","0","0","0","26","0","0","0","0","0","1","7","0","0","0","0","0","1","0","9","2021-11-17 22:03:55.0"
"구로구","11530000625","느티나무어린이집","국공립","정상","08368","서울특별시 구로구 항동로 43 1층 관리동","02-2060-2010","02-2060-2226","","8","573","2","28","20","128","110","37.47795481636066","126.82367732356282","미운영","2019-04-29","","","","2021-11-17","일반","3","2","2","1","2","2","0","0","0","12","9","10","14","15","29","33","0","0","0","110","1","0","0","0","0","1","16","0","0","1","0","0","2","0","21","2021-11-17 22:03:54.0"
"구로구","11530000624","꿈나무어린이집","국공립","정상","08325","서울특별시 구로구 구일로4길 46 204동 105호(구로동현대연예인아파트)","02-838-3934","","","3","54","1","5","5","19","9","37.566470","126.977963","미운영","2019-04-01","","","","2021-11-17","야간연장","2","0","1","0","0","0","3","0","0","6","4","0","0","0","0","0","5","0","0","9","0","0","0","0","0","1","3","0","0","0","0","0","1","0","5","2021-11-17 22:03:54.0"
"구로구","11530000623","푸르지오아이숲어린이집","국공립","정상","08240","서울특별시 구로구 중앙로 121 고척파크푸르지오 관리동","02-2613-9280","02-2617-9280","","4","101","1","7","8","23","20","37.50769407914164","126.85736383934905","미운영","2019-04-01","","","","2021-11-17","일반","3","1","1","0","0","0","0","0","0","5","9","5","6","0","0","0","0","0","0","20","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000622","해오름어린이집","국공립","정상","08289","서울특별시 구로구 공원로6가길 67 3동 102호(구로동구로우성아파트)","02-857-5110","02-857-5110","","3","60","0","4","8","19","17","37.50479460408028","126.88948742780278","미운영","2019-03-01","","","","2021-11-17","일반","3","2","1","0","0","0","2","0","0","8","6","6","5","0","0","0","0","0","0","17","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000620","우방어린이집","국공립","정상","08323","서울특별시 구로구 구일로 154-17 101동 101호","02-858-0506","","","3","60","0","3","7","19","19","37.49799974015833","126.8746633148037","미운영","2019-03-01","","","","2021-11-17","일반","1","3","1","0","0","0","0","0","0","5","3","10","6","0","0","0","0","0","0","19","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000621","한진예닮어린이집","국공립","정상","08354","서울특별시 구로구 개봉로3길 87 101동 101호(개봉동한진타운아파트)","02-2613-3990","","","4","60","0","4","7","19","19","37.485614922222624","126.85097085309893","미운영","2019-03-01","","","","2021-11-17","일반","2","1","0","0","0","0","2","0","0","5","6","5","0","0","0","0","8","0","0","19","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000618","하늘샘어린이집","국공립","정상","08332","서울특별시 구로구 개봉로18길 17","02-2615-8825","02-6405-8825","","5","223","1","12","13","52","42","37.4914214862983","126.85700467453276","미운영","2019-03-01","","","","2021-11-17","일반","2","2","2","0","0","0","0","1","0","7","6","10","14","0","0","0","0","12","0","42","0","0","0","0","0","1","10","0","0","0","0","0","1","0","13","2021-11-17 22:03:55.0"
"구로구","11530000619","해가람어린이집","국공립","정상","08201","서울특별시 구로구 신도림로21길 25 301동 106호","02-2675-8330","","","4","51","0","7","7","19","19","37.513042936556815","126.8844023175487","미운영","2019-03-01","","","","2021-11-17","일반","0","0","1","0","0","0","5","0","0","6","0","0","0","0","0","0","19","0","0","19","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000617","항동라온어린이집","국공립","정상","08368","서울특별시 구로구 서해안로 2036 803동 1층","02-2066-5700","02-2066-2800","","4","150","0","9","10","42","39","37.47461172436583","126.81751258150562","미운영","2019-01-17","","","","2021-11-17","야간연장","2","2","2","1","0","0","0","0","0","7","6","10","14","9","0","0","0","0","0","39","0","0","0","0","0","1","8","0","0","0","0","0","1","0","10","2021-11-17 22:03:55.0"
"구로구","11530000616","하늘빛어린이집","국공립","정상","08228","서울특별시 구로구 고척로52나길 25 1층 어린이집","02-2685-1324","02-2686-1324","","4","180","0","9","11","49","46","37.5051277907","126.8573616533","미운영","2018-12-13","","","","2021-11-17","야간연장","0","1","2","1","0","0","0","1","0","5","0","5","13","12","0","0","0","16","0","46","0","0","0","0","0","1","8","0","0","0","0","0","1","0","11","2021-11-17 22:03:55.0"
"구로구","11530000615","해봄어린이집","국공립","정상","08366","서울특별시 구로구 금오로 882 어린이집","02-2689-7879","","","4","148","0","7","9","30","23","37.4760025474","126.8423176204","미운영","2018-12-07","","","","2021-11-17","야간연장","2","2","1","0","0","0","0","0","0","5","6","10","7","0","0","0","0","0","0","23","0","0","0","0","0","1","7","0","0","0","0","0","1","0","9","2021-11-17 22:03:55.0"
"구로구","11530000614","경선어린이집","국공립","정상","08329","서울특별시 구로구 개봉로20길 6 118동 102호","02-6095-5915","","","3","63","0","4","7","20","19","37.4928800523","126.8593072878","미운영","2018-09-01","","","","2021-11-17","일반","1","2","1","0","0","0","4","0","0","8","3","4","5","0","0","0","7","0","0","19","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:54.0"
"구로구","11530000612","사과나무어린이집","국공립","정상","08330","서울특별시 구로구 개봉로20길 158 204동 102호","02-2066-2564","","","3","63","0","6","8","20","19","37.4920420095","126.8607381598","미운영","2018-03-01","","","","2021-11-17","일반","1","2","2","0","0","0","0","0","0","5","3","8","8","0","0","0","0","0","0","19","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000613","블루밍서연어린이집","국공립","정상","08228","서울특별시 구로구 고척로60길 30 고척벽산베스트블루밍 아파트 관리동 1층","02-2686-4333","02-2683-4333","","4","102","0","7","8","23","23","37.5051511052","126.8587685394","미운영","2018-03-01","","","","2021-11-17","일반","2","1","2","0","0","0","0","0","0","5","6","5","12","0","0","0","0","0","0","23","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000611","이화우성어린이집","국공립","정상","08369","서울특별시 구로구 도림로22길 8 101동 110호","02-859-5152","02-859-5153","","3","68","0","4","7","20","16","37.4901477076","126.8932529137","미운영","2018-03-01","","","","2021-11-17","일반","1","2","1","0","0","0","2","0","0","6","3","4","6","0","0","0","3","0","0","16","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000608","파란나라어린이집","국공립","정상","08227","서울특별시 구로구 중앙로1길 18-19 103동 105호","02-2619-4501","0504-206-2224","","3","60","0","5","7","17","17","37.4985789254","126.8631506148","미운영","2018-03-01","","","","2021-11-17","일반","3","2","2","0","0","0","0","0","0","7","7","5","5","0","0","0","0","0","0","17","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000607","하늘어린이집","국공립","정상","08329","서울특별시 구로구 개봉로20길 6 124동 104호","02-2066-7749","050-4047-8354","","3","65","0","5","9","20","20","37.49135189710704","126.85813698555301","미운영","2018-03-01","","","","2021-11-17","야간연장","3","2","1","0","0","0","1","0","0","7","6","8","6","0","0","0","0","0","0","20","0","0","0","0","0","1","7","0","0","0","0","0","1","0","9","2021-11-17 22:03:55.0"
"구로구","11530000609","두산어린이집","국공립","정상","08313","서울특별시 구로구 도림로 59 105동 102호(구로동구로두산아파트)","02-6735-9267","02-839-2020","","3","73","0","4","8","20","20","37.4898986777","126.8889609663","미운영","2018-03-01","","","","2021-11-17","야간연장","2","3","1","0","0","0","0","0","0","6","6","8","6","0","0","0","0","0","0","20","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000610","사랑별어린이집","국공립","정상","08320","서울특별시 구로구 구로동로8길 30-1","02-858-8010","02-858-8015","","4","122","0","5","11","46","46","37.4870528338","126.8865771392","미운영","2018-03-01","","","","2021-11-17","야간연장","0","2","2","1","0","0","0","1","0","6","0","10","9","12","0","0","0","15","0","46","0","0","0","0","0","1","8","0","0","0","0","0","1","0","11","2021-11-17 22:03:55.0"
"구로구","11530000606","오류동행복주택어린이집","국공립","정상","08272","서울특별시 구로구 경인로20가길 38 1층","02-2088-5752","02-2135-5752","","6","320","1","14","15","76","74","37.4939419533","126.8412305271","미운영","2018-01-02","","","","2021-11-17","일반","2","2","2","1","1","1","0","0","0","9","5","10","14","14","12","19","0","0","0","74","0","0","0","0","0","1","12","0","0","0","0","0","1","0","15","2021-11-17 22:03:55.0"
"구로구","11530000604","키즈극동어린이집","국공립","정상","08312","서울특별시 구로구 구로중앙로7길 28 1동 101호(구로동 극동아파트)","02-6347-5001","02-6091-7725","","3","60","0","5","6","19","15","37.4912796333","126.8896147652","미운영","2017-09-01","","","","2021-11-17","일반","1","1","0","0","0","0","4","0","0","6","2","5","0","0","0","0","8","0","0","15","0","0","0","0","0","1","4","0","0","0","0","0","1","0","6","2021-11-17 22:03:55.0"
"구로구","11530000605","꿈사랑어린이집","국공립","정상","08276","서울특별시 구로구 경인로40길 11 101동 104호","02-6734-4757","0504-082-4753","","3","56","0","6","7","20","20","37.4960553367","126.8594234615","미운영","2017-08-28","","","","2021-11-17","야간연장","0","3","2","0","0","0","0","0","0","5","0","10","10","0","0","0","0","0","0","20","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:54.0"
"구로구","11530000603","경남큰사랑어린이집","국공립","정상","08342","서울특별시 구로구 오류로 65 105동 101호(오류동 경남아너스빌)","02-2066-2081","","","3","68","0","5","8","20","20","37.4906463706","126.8401157948","미운영","2017-08-28","","","","2021-11-17","일반","1","3","2","0","0","0","1","0","0","7","2","9","9","0","0","0","0","0","0","20","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:54.0"
"구로구","11530000602","구로구청 사랑채움 어린이집","직장","정상","08284","서울특별시 구로구 가마산로 245","02-858-2046","","","8","239","1","21","15","84","54","37.4958299113","126.8879072957","미운영","2017-03-03","","","","2021-11-17","일반","3","3","2","1","1","1","0","0","0","11","6","10","12","8","13","5","0","0","0","54","0","0","0","0","0","1","12","0","0","0","0","0","1","0","15","2021-11-17 22:03:54.0"
"구로구","11530000601","사랑가득어린이집","국공립","정상","08202","서울특별시 구로구 신도림로 87 103동 101호","02-2689-1342","","","3","65","0","5","7","20","20","37.5109612823","126.8822384152","미운영","2017-03-01","","","","2021-11-17","일반","1","1","1","0","0","0","4","0","0","7","3","4","7","0","0","0","6","0","0","20","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000599","초롱어린이집","국공립","정상","08329","서울특별시 구로구 개봉로20길 6 116동 101호","02-2066-2753","02-2066-2753","","3","61","0","5","8","20","20","37.49295250153397","126.85829650918303","미운영","2017-03-01","","","","2021-11-17","일반","2","3","2","0","0","0","0","0","0","7","4","10","6","0","0","0","0","0","0","20","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000600","행복한아이어린이집","국공립","정상","08329","서울특별시 구로구 개봉로20길 6 105동 103호(개봉동 현대아파트)","02-2616-2473","02-2616-2473","http://cafe.naver.com/0226162473","3","61","0","4","8","20","20","37.4928800523","126.8593072878","미운영","2017-03-01","","","","2021-11-17","일반","2","2","2","0","0","0","0","0","0","6","3","8","9","0","0","0","0","0","0","20","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:56.0"
"구로구","11530000598","한사랑어린이집","국공립","정상","08354","서울특별시 구로구 개봉로3길 87 110동 103호","02-6741-2270","02-6741-2270","hdjang01@nate.com","3","59","0","4","8","20","19","37.4858996413","126.8509714182","미운영","2017-03-01","","","","2021-11-17","일반","2","3","2","0","0","0","0","0","0","7","5","9","5","0","0","0","0","0","0","19","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000596","예랑어린이집","국공립","정상","08365","서울특별시 구로구 천왕로 56 313동 104호(천왕동천왕이펜하우스3단지)","02-6448-5700","02-6447-5700","","3","67","0","5","7","20","16","37.48179334477375","126.84132011631693","미운영","2017-01-01","","","","2021-11-17","야간연장","1","2","1","0","0","0","1","0","0","5","3","7","6","0","0","0","0","0","0","16","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000597","푸르뫼어린이집","국공립","정상","08267","서울특별시 구로구 고척로 82 201동 103호(개봉동 거성푸르뫼2차아파트)","02-2618-8736","","","4","76","0","6","8","20","20","37.499804598","126.843104443","미운영","2017-01-01","","","","2021-11-17","야간연장","2","2","1","0","0","0","0","0","0","5","5","9","6","0","0","0","0","0","0","20","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000595","해피벨어린이집","국공립","정상","08211","서울특별시 구로구 신도림로 32 702동 101호","02-2678-1614","","","3","75","0","5","8","20","20","37.50698476080181","126.8809507968766","미운영","2017-01-01","","","","2021-11-17","일반","2","3","1","0","0","0","0","0","0","6","4","10","6","0","0","0","0","0","0","20","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000594","롯데mom편한어린이집","직장","정상","08324","서울특별시 구로구 구일로8길 31 102동 105호(구로동구로우성아파트)","02-6737-1722","02-6735-1722","","2","84","0","4","6","15","4","37.4951729635","126.8726783565","미운영","2016-12-27","","","","2021-11-17","일반","2","0","0","0","0","0","3","0","0","5","2","0","0","0","0","0","2","0","0","4","0","0","0","0","0","1","4","0","0","0","0","0","1","0","6","2021-11-17 22:03:55.0"
"구로구","11530000593","푸른숲어린이집","국공립","정상","08323","서울특별시 구로구 구일로8길 143","02-830-0161","","","6","247","1","15","21","91","86","37.4989185578","126.8770371909","미운영","2016-12-01","","","","2021-11-17","장애아통합","2","2","2","1","1","1","0","0","3","12","6","10","14","15","16","16","0","0","9","86","0","0","0","0","0","1","14","1","0","0","0","0","2","0","21","2021-11-17 22:03:55.0"
"구로구","11530000239","신나라어린이집","국공립","정상","08275","서울특별시 구로구 경인로 382 102동 101호(개봉동 한마을아파트)","02-2060-8733","","","3","55","0","4","7","20","20","37.49532173","126.8625425","미운영","2016-09-01","","","","2021-11-17","일반","0","3","2","0","0","0","0","0","0","5","0","10","10","0","0","0","0","0","0","20","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000049","무지개어린이집","국공립","정상","08338","서울특별시 구로구 개봉로17아길 44 멤버스빌 101호 (개봉동)","02-2685-0692","02-2687-8929","kco0905@naver.com","3","78","0","4","7","18","16","37.49305127","126.851013","미운영","2016-05-01","","","","2021-11-17","일반","2","4","1","0","0","0","1","0","0","8","3","9","4","0","0","0","0","0","0","16","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000053","다솔어린이집","국공립","정상","08370","서울특별시 구로구 디지털로 319 302동 101호(구로동 현대아파트)","02-837-6232","02-6091-6232","","3","84","0","5","7","20","18","37.48834239","126.8960826","미운영","2016-05-01","","","","2021-11-17","일반","2","2","1","0","0","0","1","0","0","6","6","4","5","0","0","0","3","0","0","18","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000263","초록어린이집","가정","정상","08251","서울특별시 구로구 고척로21다길 28-1 1층(개봉1동)","02-2612-3359","02-2615-7974","club.cyworld.com/26123359","3","84","0","3","3","19","3","37.50335541507369","126.8437512649764","운영","2016-03-22","","","","2021-11-17","일반","0","0","1","0","0","0","2","0","0","3","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","3","2021-11-17 22:03:55.0"
"구로구","11530000591","해뜰어린이집","국공립","정상","08310","서울특별시 구로구 구로동로21길 38","02-852-5110","02-862-5110","","4","190","1","8","8","44","20","37.489628981190556","126.88214526925112","미운영","2015-11-16","","","","2021-11-17","일반","1","1","1","0","0","0","1","1","0","5","3","5","5","0","0","0","3","4","0","20","0","0","0","0","0","1","5","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000592","해담어린이집","국공립","정상","08364","서울특별시 구로구 천왕로 21 705동(천왕동 천왕1지구 7단지)","02-2688-8863","02-2688-8864","","5","330","1","8","11","74","67","37.47917673404922","126.83892825200762","미운영","2015-10-01","","","","2021-11-17","일반","0","1","2","1","1","1","0","0","0","6","0","5","14","15","13","20","0","0","0","67","0","0","0","0","0","1","8","0","0","0","0","0","1","0","11","2021-11-17 22:03:55.0"
"구로구","11530000590","마노아구로어린이집","직장","정상","08381","서울특별시 구로구 디지털로27길 36 이스페이스108호","02-6210-3100","02-6210-3101","","4","265","0","8","11","49","24","37.48374271350868","126.89255650093984","미운영","2015-05-15","","","","2021-11-17","일반","2","2","1","1","0","0","0","0","0","6","6","8","7","3","0","0","0","0","0","24","0","0","0","0","0","1","9","0","0","0","0","0","1","0","11","2021-11-17 22:03:55.0"
