"교육청명","교육지원청명","유치원코드","유치원명","설립유형","대표자명","원장명","설립일","개원일","주소","전화번호","홈페이지","운영시간","만3세학급수","만4세학급수","만5세학급수","혼합학급수","특수학급수","만3세유아수","만4세유아수","만5세유아수","혼합유아수","특수유아수","공시차수"
"서울특별시교육청","남부교육지원청","1ecec08c-f5fd-b044-e053-0a32095ab044","서울고척초등학교병설유치원","공립(병설)","김대준","김대준","19940504","19940901","서울특별시 구로구 경서로 31","02-2612-8307","http://www.gocheok.kg.kr","07시30분~19시30분","15","33","41","0","","15","33","41","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f5fe-b044-e053-0a32095ab044","서울남유치원","사립(사인)","강송중","박미진","19810303","19810303","서울특별시 구로구 구로동로17길 37-4","02-865-0137","","07시30분~19시30분","2","1","2","0","","40","28","39","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f707-b044-e053-0a32095ab044","목원유치원","사립(사인)","조병순","고미정","20011029","20011029","서울특별시 구로구 개봉로20길 6","02-2066-6060","","09시30분~19시00분","3","3","2","0","","57","64","45","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f9f5-b044-e053-0a32095ab044","서울미래초등학교병설유치원","공립(병설)","김연숙","김연숙","20030301","20030301","서울특별시 구로구 새말로 73","02-858-1965","http://www.mirae.es.kr","07시00분~20시00분","1","1","1","0","","16","22","23","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-fbfd-b044-e053-0a32095ab044","개봉샛별유치원","사립(법인)","권은희","권은희","19840611","19840611","서울특별시 구로구 개봉로18길 11","02-2615-8812","http://cafe.daum.net/gooddaddy","09시00분~18시00분","1","1","1","0","","15","13","27","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-fc59-b044-e053-0a32095ab044","서울천왕초등학교병설유치원","공립(병설)","방대곤","방대곤","20110901","20110901","서울특별시 구로구 천왕로1길 11","02-6343-4382","http://www.cheonwang.es.kr","07시00분~20시00분","1","1","1","0","","12","10","19","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-fce7-b044-e053-0a32095ab044","사랑유치원","사립(사인)","조정녀","조정녀","19890215","19890215","서울특별시 구로구 신도림로11가길 36","02-2634-7918","","07시30분~19시30분","2","2","2","0","","42","55","59","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-feac-b044-e053-0a32095ab044","서울구로남초등학교병설유치원","공립(병설)","홍은자","홍은자","20130222","20130516","서울특별시 구로구 디지털로27길 76","02-853-5025","","07시30분~19시30분","1","1","1","0","","10","14","15","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-0068-b044-e053-0a32095ab044","혜원유치원","사립(사인)","한상칠","황지숙","19880101","19880101","서울특별시 구로구 고척로 62-11","02-2612-7735","","08시20분~19시00분","2","3","2","0","","30","55","51","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-012c-b044-e053-0a32095ab044","동부유치원","사립(사인)","강명주","정수경","20000406","20000406","서울특별시 구로구 고척로 49","02-2613-8790","","08시00분~20시00분","1","1","1","0","","11","16","18","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-0141-b044-e053-0a32095ab044","예쁨유치원","사립(법인)","박애순","박애순","19960115","19960301","서울특별시 구로구 부일로1길 125","02-2615-3145","","09시00분~19시00분","1","1","1","0","","18","22","21","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-01d6-b044-e053-0a32095ab044","서울구일초등학교병설유치원","공립(병설)","박승수","박승수","20131226","20140703","서울특별시 구로구 구일로 68","02-6952-0097","http://www.guil.es.kr","07시30분~19시30분","","1","1","0","","","22","23","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-02b2-b044-e053-0a32095ab044","서울하늘숲유치원","공립(단설)","전월순","전월순","20131226","20140422","서울특별시 구로구 오리로 1102-19","02-2625-8003","http://www.서울하늘숲유치원.kr/","07시30분~19시30분","3","2","2","0","1","38","35","44","0","5","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-0556-b044-e053-0a32095ab044","동정성모유치원","사립(법인)","장영선","최영희","19880115","19880115","서울특별시 구로구 경인로2길 11","02-2684-3624","","09시00분~17시00분","3","2","2","0","","41","57","48","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-0557-b044-e053-0a32095ab044","바니유치원","사립(사인)","김수영","채경란","19900306","19900306","서울특별시 구로구 구일로4길 46","02-865-4234","","07시00분~20시00분","1","1","1","0","","25","15","19","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-0630-b044-e053-0a32095ab044","푸른동산유치원","사립(사인)","조상수","윤춘근","20121031","20130301","서울특별시 구로구 서해안로 2201","02-2613-1303","http://www.greengd.co.kr","09시30분~17시30분","3","4","3","0","","52","84","75","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-08be-b044-e053-0a32095ab044","꿀벌유치원","사립(법인)","한국천주교살레시오회","최향숙","19800701","19940601","서울특별시 구로구 디지털로27다길 15","02-857-8545","http://www.honeybees.or.kr","08시00분~19시00분","1","2","2","0","","25","37","29","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-08c9-b044-e053-0a32095ab044","일신유치원","사립(사인)","윤은희","이경아","19860613","19860613","서울특별시 구로구 오류로8길 22","02-2612-1432","","09시00분~19시00분","1","1","1","0","","13","12","18","0","","20192"
"서울특별시교육청","남부교육지원청","1ecec08d-099f-b044-e053-0a32095ab044","버들유치원","사립(사인)","김선화","진희","19840228","19840228","서울특별시 구로구 오류로8길 40","02-2614-5393","https://cafe.naver.com/buddlekinder","09시00분~18시00분","","","","1","","","","","23","","20192"
"서울특별시교육청","남부교육지원청","1ecec08d-0e01-b044-e053-0a32095ab044","동아유치원","사립(사인)","김찬수","박영란","20000212","20000212","서울특별시 구로구 신도림로 87","02-2677-7539","","09시00분~17시00분","2","2","2","0","","52","51","38","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-0e10-b044-e053-0a32095ab044","신도유치원","사립(사인)","정현철","황휘정","19900423","19900423","서울특별시 구로구 구일로2길 45","02-853-5423","","08시00분~18시30분","1","1","1","0","","26","27","21","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08d-0f6d-b044-e053-0a32095ab044","서울신미림초등학교병설유치원","공립(병설)","신인수","신인수","20030106","20030301","서울특별시 구로구 신도림로 26","02-2676-8626","http://www.sinmirim.es.kr","07시00분~19시00분","1","1","1","0","","16","22","24","0","","20212"
"서울특별시교육청","남부교육지원청","89ed1bdc-67a2-4124-a077-bc925d6a901a","서울항동유치원","공립(단설)","안유정","안유정","20180927","20190301","서울특별시 구로구 연동로8길 15","02-6949-4941","http://www.서울항동유치원.kr","07시30분~19시30분","3","3","3","0","2","48","63","63","0","8","20212"
"서울특별시교육청","남부교육지원청","dd6206b2-a72a-4bdd-992a-3922a54bdb4b","서울오류남초등학교병설유치원","공립(병설)","박응규","박응규","20190901","20190901","서울특별시 구로구 서해안로24길 22","02-2687-0221","","07시00분~19시00분","","1","1","0","","","13","23","0","","20212"
